,bend,glissando,legato,muted,palmstrike,staccato,sustained,tremolo,trill,vibrato
bend,175,0,1,0,0,5,103,0,0,0
glissando,2,8,43,0,0,53,0,0,0,0
legato,738,0,521,0,0,1,4,0,2,76
muted,0,0,0,49,0,62,0,0,0,0
palmstrike,1,0,0,0,107,1,9,0,0,0
staccato,2,0,8,8,0,204,0,0,0,0
sustained,318,0,0,19,29,0,1260,0,0,0
tremolo,0,0,0,0,0,0,0,31,144,158
trill,37,12,20,0,0,0,0,5,129,64
vibrato,337,0,2,2,0,0,112,0,0,30
