,bend,glissando,legato,muted,palmstrike,staccato,sustained,tremolo,trill,vibrato
bend,144,0,0,0,0,8,132,0,0,0
glissando,5,12,51,0,0,38,0,0,0,0
legato,770,0,484,0,0,0,20,0,2,66
muted,1,0,0,49,0,61,0,0,0,0
palmstrike,1,0,0,0,112,1,4,0,0,0
staccato,10,0,6,11,0,195,0,0,0,0
sustained,223,0,0,20,66,0,1317,0,0,0
tremolo,0,0,0,0,0,0,0,52,155,126
trill,50,2,3,0,0,0,0,0,154,58
vibrato,358,0,0,2,0,0,100,0,0,23
