,bend,glissando,legato,muted,palmstrike,staccato,sustained,tremolo,trill,vibrato
bend,185,0,1,0,0,13,85,0,0,0
glissando,0,37,6,0,0,63,0,0,0,0
legato,853,0,450,0,0,0,0,0,2,37
muted,0,0,0,47,0,64,0,0,0,0
palmstrike,3,0,0,0,105,0,10,0,0,0
staccato,0,0,4,11,0,207,0,0,0,0
sustained,393,0,0,39,0,0,1194,0,0,0
tremolo,0,0,0,0,0,0,0,49,173,111
trill,30,0,6,0,0,0,0,0,158,73
vibrato,407,0,0,3,0,0,56,0,0,17
