,bend,glissando,legato,muted,palmstrike,staccato,sustained,tremolo,trill,vibrato
bend,152,0,1,0,0,7,124,0,0,0
glissando,0,50,7,0,0,49,0,0,0,0
legato,716,0,519,0,0,0,23,0,2,82
muted,4,0,0,49,0,58,0,0,0,0
palmstrike,1,0,0,0,107,1,9,0,0,0
staccato,1,0,5,12,0,204,0,0,0,0
sustained,281,0,0,22,84,0,1239,0,0,0
tremolo,0,0,0,0,0,0,0,38,191,104
trill,28,0,3,0,0,0,0,3,146,87
vibrato,331,0,0,2,4,0,105,0,0,41
