,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,333,0,0,0,0,0,0,0,0,0,0,0,0
bottleneck,0,0,57,0,0,0,0,0,0,0,0,0,0,0
glissando,0,0,0,131,0,1,0,0,0,0,0,0,0,0
legato,0,12,0,0,1666,0,0,0,0,0,2,0,0,0
muted,0,0,0,0,0,138,0,0,0,0,0,0,0,0
palmstrike,0,0,0,0,0,0,145,0,0,0,0,0,0,0
scratch,0,0,11,1,0,0,2,127,2,0,0,12,10,0
snap-pizz,0,0,0,3,0,0,0,0,133,2,0,0,0,0
staccato,0,0,0,0,0,0,0,0,2,165,0,0,0,0
sustained,0,46,0,0,0,0,3,0,0,0,1995,0,0,3
tremolo,0,0,7,0,0,0,0,0,0,0,0,393,6,8
trill,0,0,0,0,0,0,0,0,0,0,1,0,331,0
vibrato,0,24,1,0,0,0,0,2,0,0,4,0,0,641
