,bend,glissando,legato,muted,palmstrike,staccato,sustained,tremolo,trill,vibrato
bend,233,0,5,0,0,0,8,0,0,37
glissando,1,98,1,0,0,6,0,0,0,0
legato,367,0,971,0,0,0,6,0,0,0
muted,0,0,0,52,0,59,0,0,0,0
palmstrike,0,0,0,0,124,0,10,0,0,0
staccato,3,9,0,1,0,208,0,0,0,0
sustained,76,0,0,16,44,3,1452,0,0,0
tremolo,0,0,0,0,0,0,0,317,13,3
trill,9,30,0,0,0,0,0,0,209,21
vibrato,106,0,0,0,0,0,4,0,0,374
