,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,331,0,0,2,0,0,0,0,0,0,0,0,0
bottleneck,0,0,55,0,0,0,0,0,0,0,0,0,0,2
glissando,0,0,0,131,0,0,0,0,1,0,0,0,0,0
legato,0,6,0,0,1674,0,0,0,0,0,0,0,0,0
muted,0,0,0,0,1,136,0,0,1,0,0,0,0,0
palmstrike,0,0,0,0,0,0,142,0,0,0,3,0,0,0
scratch,0,0,2,2,0,0,0,142,0,0,0,19,0,0
snap-pizz,0,0,0,0,0,0,0,0,138,0,0,0,0,0
staccato,0,0,0,0,0,0,0,0,4,163,0,0,0,0
sustained,0,10,0,0,0,0,0,4,0,0,2033,0,0,0
tremolo,0,0,0,0,0,0,0,0,0,0,0,408,6,0
trill,0,0,0,0,0,0,0,1,0,0,0,2,329,0
vibrato,0,14,1,0,1,0,0,0,0,0,21,0,0,635
