,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,333,0,0,0,0,0,0,0,0,0,0,0,0
bottleneck,0,0,57,0,0,0,0,0,0,0,0,0,0,0
glissando,0,0,0,131,0,1,0,0,0,0,0,0,0,0
legato,0,1,0,0,1679,0,0,0,0,0,0,0,0,0
muted,0,0,0,0,0,137,0,0,1,0,0,0,0,0
palmstrike,0,0,0,0,0,0,142,0,0,0,3,0,0,0
scratch,0,0,20,1,0,2,2,136,0,0,0,2,2,0
snap-pizz,0,0,0,1,0,0,0,0,137,0,0,0,0,0
staccato,0,0,0,0,0,0,0,0,3,164,0,0,0,0
sustained,0,17,0,0,0,0,0,0,0,0,2030,0,0,0
tremolo,0,0,0,0,0,0,0,0,0,0,0,414,0,0
trill,0,0,0,0,0,0,0,1,0,0,0,0,331,0
vibrato,0,5,0,0,1,0,0,0,0,0,1,0,4,661
