,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,333,0,0,0,0,0,0,0,0,0,0,0,0
bottleneck,0,0,57,0,0,0,0,0,0,0,0,0,0,0
glissando,0,0,0,131,0,1,0,0,0,0,0,0,0,0
legato,0,3,0,0,1677,0,0,0,0,0,0,0,0,0
muted,0,0,0,0,0,138,0,0,0,0,0,0,0,0
palmstrike,0,0,0,0,0,0,143,0,0,0,2,0,0,0
scratch,0,0,15,1,0,2,0,142,0,0,0,5,0,0
snap-pizz,0,0,0,2,0,0,0,0,136,0,0,0,0,0
staccato,0,0,0,0,0,0,0,0,4,163,0,0,0,0
sustained,0,15,0,0,0,1,0,0,0,0,2031,0,0,0
tremolo,0,0,0,0,0,0,0,0,0,0,0,414,0,0
trill,0,0,0,0,0,0,0,1,0,0,0,0,331,0
vibrato,0,5,1,0,0,0,0,0,0,0,0,0,1,665
